content,platform,time
一分都不想给，广告太多，比免费版的体验都要差，谁买谁后悔，垃圾的要死广告太多太多，这和免费版完全没有区别，里面内容太烂，对不起头条这名字，真的连垃圾都不如。,AppStore,2017-09-1510:28:19
账号一退出来就登不上去了,豌豆荚,2017-12-1919:49:40
登不上去啊！**！/,vivo应用商店,2017-12-1919:23:46
内容越来越差，准备卸载了,小米应用商店,2017-12-1101:30:43
莫名其妙的闪退,豌豆荚,2017-12-2000:28:26
今日头条悟空问答里审核小编有满遗。软件有时莫名其妙卸载，还要重安装,小米应用商店,2017-11-1501:50:13
全世界都是广告广告广告广告，除了广告什么都没有,AppStore,2017-05-2909:41:43
网络连不上更新了之后就再也连不上网络了。。什么都没有了,AppStore,2017-01-0610:39:56
登不上了，是不是有人把这款软件封了？可能是为了让我们去下西瓜视频，卑鄙,vivo应用商店,2017-12-1919:32:51
垃圾东西给了钱还给我加两个视频在tab栏。恶心！,AppStore,2017-06-1311:10:55
垃圾新闻客户端，重发、抄袭、不相关的文章太多了！我已卸载,豌豆荚,2017-10-2206:16:47
草开发者全家，去你mlgb垃圾，花钱了还有你妈广告！！！！！！！！！！！！！！！！！！！,AppStore,2017-03-1314:53:00
垃圾新闻再多有个屁用，都不用实名制,360手机助手,2017-12-1622:30:02
QQ登不上去了，评论也不能看，咋回事,小米应用商店,2017-12-1920:01:37
更新了还是有广告真是服了你,AppStore,2017-09-0622:25:52
退出登陆后就再也不让用QQ号登陆了想骗我用手机号码注册，哼，没门！想卖我手机号码，一条0.5元，头条！,AppStore,2017-09-0408:52:13
垃圾东西，看视频经常加载失败,小米应用商店,2018-01-0815:58:04
评论完居然看不到,豌豆荚,2017-10-1916:58:40
看不到,豌豆荚,2017-10-2304:30:36
今日头条最垃圾的一次更新今日头条先是西瓜视频恶心的要死现在还整合一些垃圾小视频这跟发小卡片有什么区别,AppStore,2017-08-3022:10:34
已经卸载，不沉浸我就不安装回来，必须给开发者一点压力！,豌豆荚,2017-10-2206:00:37
新版的，视频现在能不能看？,豌豆荚,2017-10-2218:04:24
为什么不能看评论,小米应用商店,2017-12-1918:19:19
为什么不能看火山抖音那些视频了？,应用宝,2017-12-3020:22:57
今天突然发现不能看评论了，还以为是我的手机被黑了，看了你们的评论才知道不是我一个人,vivo应用商店,2017-12-1919:24:34
内容越做越糟糕！头条没有了头条，全是标题党，内容也太过低俗，无用！还有你们的安卓版，更是糟糕，广告就直接嵌入到称不上的新闻内容里！,AppStore,2017-09-1213:35:10
骗钱的和免费版没区别，假如真有区别就是骗了你1块钱！垃圾！强烈要求苹果还钱1元！,AppStore,2017-03-1218:41:32
更新完看不见评论了啊！！！！！,AppStore,2017-02-0222:39:16
闪退用一会就闪退，没法用了,AppStore,2017-01-0414:28:49
什么破玩意，千万不要下，你会后悔，什么都没干就被封号了，顶我上去，让大家知道,百度手机助手,2017-10-1719:03:00
垃圾软件，你搞再多活动也不用了！,应用宝,2018-01-0908:41:10
脑子进水了，弹窗要评价，一星够不够？脑子进水了吗？打开一次弹一次要评价，给你一星爽不爽？,AppStore,2017-01-0615:45:00
动不动就要更新，一个月要更新好几次，而且更新前后根本没啥变化。。。。。。。无语,应用宝,2017-12-2720:12:22
